Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Substation ID_src,Name_source,Region_source,Country_source,Substation ID_dest,Name_dest,Region_dest,Country_dest,Utility_Name,Code
18,3,12,Takoradi Substation,14,Tarkwa Substation,33,66.2,133.8,Active,Overhead,12,Takoradi Substation,Western,Ghana,14,Tarkwa Substation,Western,Ghana,Ghana Grid Company,GRD
19,1,13,Aboadze Substation,14,Tarkwa Substation,33,55.8,247.0,Active,Overhead,13,Aboadze Substation,Western,Ghana,14,Tarkwa Substation,Western,Ghana,Electricity Company of Ghana,ECG
20,2,13,Aboadze Substation,15,Axim Substation,33,66.4,135.3,Active,Overhead,13,Aboadze Substation,Western,Ghana,15,Axim Substation,Western,Ghana,Northern Electricity Distribution Company,NED
21,3,14,Tarkwa Substation,15,Axim Substation,69,59.7,264.2,Active,Overhead,14,Tarkwa Substation,Western,Ghana,15,Axim Substation,Western,Ghana,Ghana Grid Company,GRD
22,2,16,Cape Coast Substation,17,Winneba Substation,69,84.4,249.8,Active,Overhead,16,Cape Coast Substation,Central,Ghana,17,Winneba Substation,Central,Ghana,Northern Electricity Distribution Company,NED
23,1,16,Cape Coast Substation,18,Kasoa Substation,11,118.3,98.0,Under Maintenance,Underground,16,Cape Coast Substation,Central,Ghana,18,Kasoa Substation,Central,Ghana,Electricity Company of Ghana,ECG
24,3,16,Cape Coast Substation,19,Assin Fosu Substation,11,82.4,294.7,Active,Overhead,16,Cape Coast Substation,Central,Ghana,19,Assin Fosu Substation,Central,Ghana,Ghana Grid Company,GRD
25,2,17,Winneba Substation,18,Kasoa Substation,11,32.3,289.5,Active,Overhead,17,Winneba Substation,Central,Ghana,18,Kasoa Substation,Central,Ghana,Northern Electricity Distribution Company,NED
26,2,18,Kasoa Substation,19,Assin Fosu Substation,11,140.9,295.6,Active,Overhead,18,Kasoa Substation,Central,Ghana,19,Assin Fosu Substation,Central,Ghana,Northern Electricity Distribution Company,NED
27,3,20,Koforidua Substation,21,Akosombo Substation,11,48.0,165.6,Active,Overhead,20,Koforidua Substation,Eastern,Ghana,21,Akosombo Substation,Eastern,Ghana,Ghana Grid Company,GRD
28,1,20,Koforidua Substation,22,Nkawkaw Substation,11,98.0,277.8,Active,Overhead,20,Koforidua Substation,Eastern,Ghana,22,Nkawkaw Substation,Eastern,Ghana,Electricity Company of Ghana,ECG
29,2,21,Akosombo Substation,22,Nkawkaw Substation,69,117.8,111.3,Active,Overhead,21,Akosombo Substation,Eastern,Ghana,22,Nkawkaw Substation,Eastern,Ghana,Northern Electricity Distribution Company,NED
30,3,21,Akosombo Substation,23,Suhum Substation,69,82.7,209.6,Active,Underground,21,Akosombo Substation,Eastern,Ghana,23,Suhum Substation,Eastern,Ghana,Ghana Grid Company,GRD
31,1,22,Nkawkaw Substation,23,Suhum Substation,69,75.9,78.9,Active,Underground,22,Nkawkaw Substation,Eastern,Ghana,23,Suhum Substation,Eastern,Ghana,Electricity Company of Ghana,ECG
32,2,24,Ho Substation,25,Kpong Substation,11,79.5,163.1,Active,Overhead,24,Ho Substation,Volta,Ghana,25,Kpong Substation,Volta,Ghana,Northern Electricity Distribution Company,NED
33,3,24,Ho Substation,27,Sogakope Substation,11,84.4,113.9,Active,Overhead,24,Ho Substation,Volta,Ghana,27,Sogakope Substation,Volta,Ghana,Ghana Grid Company,GRD
34,1,25,Kpong Substation,27,Sogakope Substation,11,59.7,32.9,Active,Overhead,25,Kpong Substation,Volta,Ghana,27,Sogakope Substation,Volta,Ghana,Electricity Company of Ghana,ECG
35,3,26,Hohoe Substation,27,Sogakope Substation,11,152.5,221.1,Active,Underground,26,Hohoe Substation,Volta,Ghana,27,Sogakope Substation,Volta,Ghana,Ghana Grid Company,GRD
36,3,28,Sunyani Substation,29,Techiman Substation,33,63.1,269.9,Active,Overhead,28,Sunyani Substation,Bono,Ghana,29,Techiman Substation,Bono,Ghana,Ghana Grid Company,GRD
37,3,29,Techiman Substation,30,Berekum Substation,33,87.3,34.1,Active,Overhead,29,Techiman Substation,Bono,Ghana,30,Berekum Substation,Bono,Ghana,Ghana Grid Company,GRD
38,2,31,Tamale Substation,32,Yendi Substation,11,112.6,296.6,Active,Underground,31,Tamale Substation,Northern,Ghana,32,Yendi Substation,Northern,Ghana,Northern Electricity Distribution Company,NED
39,3,34,Bolgatanga Substation,35,Bawku Substation,161,86.6,64.6,Active,Underground,34,Bolgatanga Substation,Upper East,Ghana,35,Bawku Substation,Upper East,Ghana,Ghana Grid Company,GRD
40,3,1,Achimota Substation,7,Kumasi Central Substation,330,225.4,303.7,Active,Overhead,1,Achimota Substation,Greater Accra,Ghana,7,Kumasi Central Substation,Ashanti,Ghana,Ghana Grid Company,GRD
41,3,7,Kumasi Central Substation,12,Takoradi Substation,330,228.3,298.9,Active,Overhead,7,Kumasi Central Substation,Ashanti,Ghana,12,Takoradi Substation,Western,Ghana,Ghana Grid Company,GRD
42,3,12,Takoradi Substation,16,Cape Coast Substation,330,70.5,455.1,Active,Overhead,12,Takoradi Substation,Western,Ghana,16,Cape Coast Substation,Central,Ghana,Ghana Grid Company,GRD
43,3,16,Cape Coast Substation,20,Koforidua Substation,330,178.8,506.3,Active,Overhead,16,Cape Coast Substation,Central,Ghana,20,Koforidua Substation,Eastern,Ghana,Ghana Grid Company,GRD
44,3,20,Koforidua Substation,24,Ho Substation,330,113.7,408.5,Active,Overhead,20,Koforidua Substation,Eastern,Ghana,24,Ho Substation,Volta,Ghana,Ghana Grid Company,GRD
45,3,24,Ho Substation,28,Sunyani Substation,330,367.7,450.7,Active,Overhead,24,Ho Substation,Volta,Ghana,28,Sunyani Substation,Bono,Ghana,Ghana Grid Company,GRD
46,3,28,Sunyani Substation,31,Tamale Substation,330,324.3,309.8,Active,Overhead,28,Sunyani Substation,Bono,Ghana,31,Tamale Substation,Northern,Ghana,Ghana Grid Company,GRD
47,3,31,Tamale Substation,34,Bolgatanga Substation,330,175.4,231.0,Active,Overhead,31,Tamale Substation,Northern,Ghana,34,Bolgatanga Substation,Upper East,Ghana,Ghana Grid Company,GRD
48,3,34,Bolgatanga Substation,36,Wa Substation,330,227.0,314.3,Active,Overhead,34,Bolgatanga Substation,Upper East,Ghana,36,Wa Substation,Upper West,Ghana,Ghana Grid Company,GRD
49,9,34,Bolgatanga Substation,37,Bolgatanga Interconnection,330,53.0,217.9,Active,Overhead,34,Bolgatanga Substation,Upper East,Ghana,37,Bolgatanga Interconnection,Burkina Faso border,Burkina,Sonabel,SNB
50,9,37,Bolgatanga Interconnection,43,Bobo-Dioulasso Hub,330,426.0,229.9,Active,Overhead,37,Bolgatanga Interconnection,Burkina Faso border,Burkina,43,Bobo-Dioulasso Hub,Burkina Faso,Burkina,Sonabel,SNB
51,5,38,Elubo Border Station,7,Kumasi Central Substation,330,235.2,285.0,Active,Overhead,38,Elubo Border Station,Cote d'Ivoire border,Cote,7,Kumasi Central Substation,Ashanti,Ghana,Compagnie Ivoirienne d'Electricite,CIE
52,5,38,Elubo Border Station,42,Abidjan Transmission Hub,330,141.3,184.6,Active,Overhead,38,Elubo Border Station,Cote d'Ivoire border,Cote,42,Abidjan Transmission Hub,Cote d'Ivoire,Cote,Compagnie Ivoirienne d'Electricite,CIE
53,6,39,Aflao Border Station,2,Tema Substation,330,157.9,207.8,Active,Overhead,39,Aflao Border Station,Togo border,Togo,2,Tema Substation,Greater Accra,Ghana,Communaute Electrique du Benin,CEB
54,6,39,Aflao Border Station,40,Lome Transmission Hub,330,3.8,323.5,Active,Overhead,39,Aflao Border Station,Togo border,Togo,40,Lome Transmission Hub,Togo,Togo,Communaute Electrique du Benin,CEB
55,6,40,Lome Transmission Hub,41,Cotonou Transmission Hub,330,150.0,326.6,Active,Overhead,40,Lome Transmission Hub,Togo,Togo,41,Cotonou Transmission Hub,Benin,Benin,Communaute Electrique du Benin,CEB
